scenario,display_name,epoch,subset,model,loss,accuracy,precision,recall,f1,auroc,mean_entropy,median_entropy,std_entropy
s2_random_5_percent,Random 5%,2,retain,fully_retrained,0.29812554723810963,0.8602524630541872,0.7371963710857478,0.6474746176583986,0.6894286691755046,0.919522811493981,0.44905510890814077,0.3963824942561976,0.37484084404251533
s2_random_5_percent,Random 5%,2,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s2_random_5_percent,Random 5%,2,validation,fine_tuned,0.3012736093421085,0.8625443625443625,0.7340025094102886,0.6674272675413577,0.6991335524350164,0.9167509513567216,0.42946740599386685,0.35470956305882884,0.3713323044954772
s2_random_5_percent,Random 5%,2,validation,fully_retrained,0.30117424228965917,0.8628173628173628,0.7463768115942029,0.6463205932686823,0.6927545093243657,0.9164780603735986,0.43940831372990696,0.37969254405885283,0.370952290309648
s2_random_5_percent,Random 5%,2,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s2_random_5_percent,Random 5%,2,test,fine_tuned,0.3132510016557794,0.8534188617442336,0.7125860989355041,0.6491728465487735,0.6794029850746268,0.9097829831314855,0.44368187803030884,0.39254141853994534,0.3747029970767161
s2_random_5_percent,Random 5%,2,test,fully_retrained,0.31298957141196365,0.856421454892862,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.9093594946466267,0.453907181903463,0.41223987916035415,0.3742603554155263
s2_random_5_percent,Random 5%,3,forget,baseline,0.2945428908652551,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954,0.44762381704415816,0.3786801010714992,0.3733452841658729
s2_random_5_percent,Random 5%,3,forget,fine_tuned,0.29702298578275854,0.863662960795787,0.7463126843657817,0.6325,0.6847090663058186,0.9171285332314745,0.44950571253444904,0.38449650909240485,0.3792201960979524
s2_random_5_percent,Random 5%,3,forget,fully_retrained,0.3027954080525379,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.9136506875477464,0.4538693762964621,0.39858724596274503,0.3757577713181466
s2_random_5_percent,Random 5%,3,retain,baseline,0.2991589285472625,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3792516101547462,0.37307085822224667
s2_random_5_percent,Random 5%,3,retain,fine_tuned,0.2972347365393491,0.8611453201970444,0.7441409165547097,0.6406631538362678,0.68853591160221,0.9199940604502942,0.44701551956443897,0.3841010033518656,0.38030503521503306
s2_random_5_percent,Random 5%,3,retain,fully_retrained,0.29812554723810963,0.8602524630541872,0.7371963710857478,0.6474746176583986,0.6894286691755046,0.919522811493981,0.44905510890814077,0.3963824942561976,0.37484084404251533
s2_random_5_percent,Random 5%,3,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s2_random_5_percent,Random 5%,3,validation,fine_tuned,0.30097129772600817,0.862953862953863,0.7518493611297915,0.6377638334284085,0.6901234567901234,0.9167979856428226,0.4370844047407734,0.3710947203344058,0.3762657805870846
s2_random_5_percent,Random 5%,3,validation,fully_retrained,0.30117424228965917,0.8628173628173628,0.7463768115942029,0.6463205932686823,0.6927545093243657,0.9164780603735986,0.43940831372990696,0.37969254405885283,0.370952290309648
